Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,12630,33.0,33,,,,,,
,,,,,12640,10.0,10,,,,,,
,,,,,12652,12.0,12,,,,,,
,,,,,12665,13.0,13,,,,,,
,,,,,12681,16.0,16,,,,,,
,,,,,12701,20.0,20,,,,,,
,,,,,12729,28.0,28,,,,,,
,,,,,12743,14.0,14,,,,,,
,,,,,12756,13.0,13,,,,,,
,,,,,12769,13.0,13,,,,,,
,,,,,12784,15.0,15,,,,,,
,,,,,12801,17.0,17,,,,,,
,,,,,12813,12.0,12,,,,,,
,,,,,12848,35.0,35,,,,,,
,,,,,12872,24.0,24,,,,,,
,,,,,12889,17.0,17,,,,,,
,,,,,12921,32.0,32,,,,,,
,,,,,12947,26.0,26,,,,,,
,,,,,12970,23.0,23,,,,,,
,,,,,12982,12.0,12,,,,,,
,,,,,12996,14.0,14,,,,,,
,,,,,13000,,,0.13657987117767334,10.64406967163086,10.61948013305664,1.498966932296753,0.61,0.0005
,,,,,13024,28.0,28,,,,,,
,,,,,13047,23.0,23,,,,,,
,,,,,13077,30.0,30,,,,,,
,,,,,13088,11.0,11,,,,,,
,,,,,13099,11.0,11,,,,,,
,,,,,13124,25.0,25,,,,,,
,,,,,13149,25.0,25,,,,,,
,,,,,13194,45.0,45,,,,,,
,,,,,13212,18.0,18,,,,,,
,,,,,13248,36.0,36,,,,,,
